Data;Localidade;Natureza;target
18/09/2018;2;2018;22357,04183
19/09/2018;2;2018;23366,59984
20/09/2018;2;2018;24527,84077
21/09/2018;2;2018;24378,21065
22/09/2018;2;2018;23554,5578
23/09/2018;2;2018;21575,24462
24/09/2018;2;2018;25232,95384
25/09/2018;2;2018;25860,36263
26/09/2018;2;2018;25290,44792
27/09/2018;2;2018;25602,12782
28/09/2018;2;2018;26272,07153
29/09/2018;2;2018;23613,34928
30/09/2018;2;2018;21324,52984
01/10/2018;2;2018;24335,155
02/10/2018;2;2018;25270,87967
03/10/2018;2;2018;25557,23702
04/10/2018;2;2018;26134,39755
05/10/2018;2;2018;24844,49722
06/10/2018;2;2018;21903,36223
07/10/2018;2;2018;19857,00821
08/10/2018;2;2018;22762,08421
09/10/2018;2;2018;24274,55366
10/10/2018;2;2018;26221,07972
11/10/2018;2;2018;26462,18846
12/10/2018;2;2018;23164,39244
13/10/2018;2;2018;23542,70552
14/10/2018;2;2018;22701,12218
15/10/2018;2;2018;24621,26189
16/10/2018;2;2018;24232,63448
17/10/2018;2;2018;23693,71831
18/10/2018;2;2018;23718,47357
19/10/2018;2;2018;23797,39979
20/10/2018;2;2018;21365,56934
21/10/2018;2;2018;19323,22401
22/10/2018;2;2018;22186,90199
23/10/2018;2;2018;23571,43171
24/10/2018;2;2018;23651,97795
25/10/2018;2;2018;22926,90872
26/10/2018;2;2018;22290,54047
27/10/2018;2;2018;20598,63251
28/10/2018;2;2018;18711,75291
29/10/2018;2;2018;20968,80334
30/10/2018;2;2018;21831,73928
31/10/2018;2;2018;22933,63623
01/11/2018;2;2018;23869,55924
02/11/2018;2;2018;21713,44162
03/11/2018;2;2018;22431,43109
04/11/2018;2;2018;21410,50829
05/11/2018;2;2018;23150,43319
06/11/2018;2;2018;23015,10634
07/11/2018;2;2018;23724,13614
08/11/2018;2;2018;22393,94585
09/11/2018;2;2018;21408,71592
10/11/2018;2;2018;20300,93967
11/11/2018;2;2018;19785,11452
12/11/2018;2;2018;23231,78804
13/11/2018;2;2018;23499,54752
14/11/2018;2;2018;24409,53572
15/11/2018;2;2018;23422,91443
16/11/2018;2;2018;25300,38632
17/11/2018;2;2018;23117,15961
18/11/2018;2;2018;21709,89002
19/11/2018;2;2018;25241,69037
20/11/2018;2;2018;23640,31322
21/11/2018;2;2018;22956,78233
22/11/2018;2;2018;23351,31872
23/11/2018;2;2018;24018,90137
24/11/2018;2;2018;23153,46207
25/11/2018;2;2018;20892,29783
26/11/2018;2;2018;23935,39427
27/11/2018;2;2018;24900,47645
28/11/2018;2;2018;25016,35838
29/11/2018;2;2018;25749,88609
30/11/2018;2;2018;25858,60283
01/12/2018;2;2018;24533,55341
02/12/2018;2;2018;22441,84612
03/12/2018;2;2018;23385,92523
04/12/2018;2;2018;23874,47253
05/12/2018;2;2018;25337,7326
06/12/2018;2;2018;26102,70565
07/12/2018;2;2018;24851,23393
08/12/2018;2;2018;21541,05191
09/12/2018;2;2018;20050,05561
10/12/2018;2;2018;22718,4933
11/12/2018;2;2018;23236,08854
12/12/2018;2;2018;24882,52138
13/12/2018;2;2018;25572,84105
14/12/2018;2;2018;26075,87667
15/12/2018;2;2018;24564,11241
16/12/2018;2;2018;22739,52752
17/12/2018;2;2018;25787,60488
18/12/2018;2;2018;26103,64136
19/12/2018;2;2018;26917,71251
20/12/2018;2;2018;26587,80694
21/12/2018;2;2018;26951,9544
22/12/2018;2;2018;25381,92662
23/12/2018;2;2018;24208,4903
24/12/2018;2;2018;24411,29972
25/12/2018;2;2018;21680,24504
26/12/2018;2;2018;23128,13969
27/12/2018;2;2018;21902,07295
28/12/2018;2;2018;21878,55539
29/12/2018;2;2018;21489,21491
30/12/2018;2;2018;20712,84703
31/12/2018;2;2018;21418,95752
01/01/2019;2;2019;21250,12622
02/01/2019;2;2019;24712,91548
03/01/2019;2;2019;26157,39069
04/01/2019;2;2019;26239,68352
05/01/2019;2;2019;24614,4579
06/01/2019;2;2019;23840,02531
07/01/2019;2;2019;26569,30993
08/01/2019;2;2019;26834,96916
09/01/2019;2;2019;27271,54496
10/01/2019;2;2019;27553,42177
11/01/2019;2;2019;26669,37194
12/01/2019;2;2019;24849,02305
13/01/2019;2;2019;23375,70033
14/01/2019;2;2019;27016,58472
15/01/2019;2;2019;27475,19661
16/01/2019;2;2019;27687,316
17/01/2019;2;2019;27985,29467
18/01/2019;2;2019;27671,36802
19/01/2019;2;2019;24907,23113
20/01/2019;2;2019;23777,06234
21/01/2019;2;2019;28400,76893
22/01/2019;2;2019;29176,58411
23/01/2019;2;2019;29418,406
24/01/2019;2;2019;29021,83338
25/01/2019;2;2019;28564,68229
26/01/2019;2;2019;26640,89328
27/01/2019;2;2019;24579,74348
28/01/2019;2;2019;28335,35605
29/01/2019;2;2019;28968,72113
30/01/2019;2;2019;29326,26859
31/01/2019;2;2019;28601,19665
01/02/2019;2;2019;28544,90822
